"","pidm","tuthours","admsatm","admri","termcred","fgrdnum","tutpart","athpart","demafam","demhis","demgender","demgrkpart","acafr","acaso","ptermcumgpa","tuthourssq","tuthourscu","cr1","cr2","cr3","cr4","cr5","cr6","cr7","cr8","cr9","cr10","cr11","cr12","cr13","cr14","cr15","cr16","cr17","cr18","cr19","cr22","cr23","cr24","cr26","cr27","cr28","cr29","cr30","cr31","cr33","cr34","cr35","cr36","cr37","cr38","cr39","cr40","cr41","cr42","cr43","cr45","cr46","cr47","cr48","cr49","cr50","cr51","cr52","cr53","cr54","cr55","cr56","cr57","cr58","cr61","cr62","cr63","cr64","cr65","cr66","cr67","cr68","cr69","cr70","cr71","cr72","cr73","cr74","cr75","cr76","cr77","cr79","cr80","cr81","cr82","cr83","cr84","cr85","cr86","cr87","acarec","acalab","y1","y2","genresz","tutfdemfhours","tutmdemmhours","tutfdemmhours","tutmdemfhours","tutmmafhrs","tutmmamhrs","tutmbufhrs","tutmbumhrs","tutmenmhrs"
"1",407363,0,520,63,15,3.29999995231628,0,0,0,0,1,0,0,0,2.55364894866943,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000341089529683813,0,0,0,0,0,0,0,0,0
"2",412546,0,660,60,18,2,0,0,0,0,1,0,0,0,2.71937489509583,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.89253894658759e-05,0,0,0,0,0,0,0,0,0
"3",20002980,1,550,54,13,2.29999995231628,1,1,0,0,1,0,0,1,2.4300000667572,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0815289318561554,0,1,0,0,0,0,0,1,0
"4",20004632,0,610,56,17,2,0,0,0,0,1,1,0,0,2.77806806564331,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000224479503231123,0,0,0,0,0,0,0,0,0
"5",20005636,0,640,60,18,2.70000004768372,0,0,0,0,0,0,0,0,2.68461489677429,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000234358623856679,0,0,0,0,0,0,0,0,0
"6",20011616,0,720,73,18,4,0,0,0,0,1,0,0,0,3.97694897651672,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.02350217680214e-05,0,0,0,0,0,0,0,0,0
"7",20033610,0,650,53,16,3.29999995231628,0,0,0,0,1,1,0,0,2.83640003204346,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000171557636349462,0,0,0,0,0,0,0,0,0
"8",20034093,0,710,61,17,3.29999995231628,0,0,0,0,1,0,0,1,3.63060593605042,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7.92031351011246e-05,0,0,0,0,0,0,0,0,0
"9",70120642,0,610,79,16,1.70000004768372,0,0,0,0,0,1,0,0,2.61871004104614,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000360510632162914,0,0,0,0,0,0,0,0,0
"10",70124829,0,630,69,16,2.70000004768372,0,0,0,0,1,1,0,0,3.16721296310425,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000156805399456061,0,0,0,0,0,0,0,0,0
"11",70130627,0,650,58,18,2,0,0,0,0,1,1,0,1,2.7576470375061,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000240058332565241,0,0,0,0,0,0,0,0,0
"12",70136665,0,710,69,13,4,0,0,0,0,1,1,0,0,3.41189193725586,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.08438126114197e-05,0,0,0,0,0,0,0,0,0
"13",70152683,0,640,66,16,3,0,0,0,0,0,0,0,1,2.84074091911316,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000339758262271062,0,0,0,0,0,0,0,0,0
"14",70153739,0,650,67,18,2.29999995231628,0,0,0,0,1,0,0,0,3.75500011444092,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7.14272318873554e-05,0,0,0,0,0,0,0,0,0
"15",70155344,0,700,64,17,1.70000004768372,0,0,0,0,1,0,0,0,3.02500009536743,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.12401927355677e-05,0,0,0,0,0,0,0,0,0
"16",70155478,0,650,67,15,2.70000004768372,0,0,0,0,1,1,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000229142053285614,0,0,0,0,0,0,0,0,0
"17",70156862,7.94999980926514,620,67,12,3.29999995231628,1,0,0,0,1,1,0,1,3.39470601081848,63.2024993896484,502.459808349609,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.134236380457878,0,0,7.94999980926514,0,0,0,0,0,0
"18",70157325,0,650,57,18,2,0,0,0,0,1,1,0,1,3.15965509414673,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000217193257412873,0,0,0,0,0,0,0,0,0
"19",70158239,0,750,79,17,2.70000004768372,0,0,0,0,1,1,0,0,3.58697009086609,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.82606158382259e-05,0,0,0,0,0,0,0,0,0
"20",70160749,0,640,70,16,4,0,0,0,0,1,1,0,1,2.94000005722046,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000236406165640801,0,0,0,0,0,0,0,0,0
